,Location,Office,Total Contributions
0,15th District,County Legislator,97706.0
1,16th District,County Legislator,56935.0
2,17th District,County Legislator,97181.0
3,35th District,State Senate,813277.0
4,37th District,State Senate,490758.0
5,90th District,State Assembly,195814.0
